"日期","燃气用量","湿度极差归一化","pm2.5归一化","AQI归一化","季节因素归一化"
1/1/16 12:00 AM,405.81,0.715976331360947,0.772972972972973,0.799086757990868,0.266362252663623
1/2/16 12:00 AM,357.42,0.479289940828402,0.740540540540541,0.757990867579909,0.252663622526636
1/3/16 12:00 AM,350.44,0.805391190006575,0.562162162162162,0.561643835616438,0.187214611872146
1/4/16 12:00 AM,397.47,0.21301775147929,0.621621621621622,0.625570776255708,0.208523592085236
1/5/16 12:00 AM,382.64,0.515450361604208,0.745945945945946,0.767123287671233,0.255707762557078
1/6/16 12:00 AM,398.39,0.444444444444445,0.697297297297297,0.712328767123288,0.237442922374429
1/7/16 12:00 AM,391.56,0.410913872452334,0.313513513513514,0.296803652968037,0.0989345509893455
1/8/16 12:00 AM,401.46,0.949375410913872,0.356756756756757,0.342465753424658,0.114155251141553
1/9/16 12:00 AM,403.38,1.21564760026298,0.286486486486487,0.269406392694064,0.0898021308980213
1/10/16 12:00 AM,404.61,1.0,0.221621621621622,0.200913242009132,0.0669710806697108
1/11/16 12:00 AM,417.84,0.552925706771861,0.2,0.178082191780822,0.0593607305936073
1/12/16 12:00 AM,413.2,1.77777777777778,0.172972972972973,0.150684931506849,0.0502283105022831
1/13/16 12:00 AM,423.03,0.715976331360947,0.2,0.17351598173516,0.0578386605783866
1/14/16 12:00 AM,430.97,0.14792899408284,0.286486486486487,0.269406392694064,0.0898021308980213
1/15/16 12:00 AM,440.76,0.444444444444445,0.345945945945946,0.328767123287671,0.10958904109589
1/16/16 12:00 AM,419.35,0.444444444444445,0.243243243243243,0.223744292237443,0.0745814307458143
1/17/16 12:00 AM,409.14,0.515450361604208,0.362162162162162,0.351598173515982,0.117199391171994
1/18/16 12:00 AM,433.96,0.85207100591716,0.383783783783784,0.374429223744292,0.124809741248097
1/19/16 12:00 AM,426.31,1.45233399079553,0.572972972972973,0.570776255707763,0.190258751902588
1/20/16 12:00 AM,421.03,1.45233399079553,0.2,0.178082191780822,0.0593607305936073
1/21/16 12:00 AM,432.62,0.168310322156476,0.167567567567568,0.164383561643836,0.0547945205479452
1/22/16 12:00 AM,425.32,0.0795529257067719,0.162162162162162,0.150684931506849,0.0502283105022831
1/23/16 12:00 AM,476.85,0.0,0.0324324324324324,0.0867579908675799,0.0289193302891933
1/24/16 12:00 AM,478.72,0.032215647600263,0.118918918918919,0.146118721461187,0.0487062404870624
1/25/16 12:00 AM,501.07,6.57462195923734E-4,0.210810810810811,0.205479452054795,0.0684931506849315
1/26/16 12:00 AM,509.03,0.042077580539119,0.243243243243243,0.223744292237443,0.0745814307458143
1/27/16 12:00 AM,506.33,0.111111111111111,0.291891891891892,0.273972602739726,0.091324200913242
1/28/16 12:00 AM,496.13,0.190006574621959,0.405405405405405,0.392694063926941,0.13089802130898
1/29/16 12:00 AM,485.07,0.237343852728468,0.508108108108108,0.506849315068493,0.168949771689498
1/30/16 12:00 AM,467.84,0.949375410913872,0.540540540540541,0.538812785388128,0.179604261796043
1/31/16 12:00 AM,451.83,0.237343852728468,0.389189189189189,0.378995433789954,0.126331811263318
2/1/16 12:00 AM,448.78,0.032215647600263,0.4,0.388127853881279,0.12937595129376
2/2/16 12:00 AM,457.36,0.318211702827087,0.454054054054054,0.442922374429224,0.147640791476408
2/3/16 12:00 AM,444.38,1.1051939513478,0.340540540540541,0.324200913242009,0.10806697108067
2/4/16 12:00 AM,441.59,0.347797501643655,0.275675675675676,0.255707762557078,0.0852359208523592
2/5/16 12:00 AM,399.45,0.378698224852071,0.302702702702703,0.28310502283105,0.0943683409436834
2/6/16 12:00 AM,361.85,0.0164365548980934,0.367567567567568,0.351598173515982,0.117199391171994
2/7/16 12:00 AM,320.35,0.190006574621959,0.318918918918919,0.301369863013699,0.100456621004566
2/8/16 12:00 AM,285.4,0.0795529257067719,0.654054054054054,0.657534246575342,0.219178082191781
2/9/16 12:00 AM,223.22,0.0236686390532544,0.524324324324324,0.515981735159817,0.171993911719939
2/10/16 12:00 AM,222.07,0.0532544378698225,0.448648648648649,0.438356164383562,0.146118721461187
2/11/16 12:00 AM,225.04,0.410913872452334,0.448648648648649,0.438356164383562,0.146118721461187
2/12/16 12:00 AM,234.03,0.347797501643655,0.27027027027027,0.273972602739726,0.091324200913242
2/13/16 12:00 AM,250.75,0.237343852728468,0.0486486486486487,0.127853881278539,0.0426179604261796
2/14/16 12:00 AM,318.05,0.0164365548980934,0.0810810810810811,0.136986301369863,0.045662100456621
2/15/16 12:00 AM,375.22,0.0236686390532544,0.135135135135135,0.155251141552511,0.0517503805175038
2/16/16 12:00 AM,386.32,0.128862590401052,0.178378378378378,0.168949771689498,0.0563165905631659
2/17/16 12:00 AM,386.3,0.262984878369494,0.221621621621622,0.205479452054795,0.0684931506849315
2/18/16 12:00 AM,381.38,0.168310322156476,0.297297297297297,0.278538812785388,0.0928462709284627
2/19/16 12:00 AM,373.49,0.0532544378698225,0.308108108108108,0.34703196347032,0.115677321156773
2/20/16 12:00 AM,371.52,0.0105193951347798,0.254054054054054,0.547945205479452,0.182648401826484
2/21/16 12:00 AM,357.63,0.168310322156476,0.335135135135135,0.429223744292237,0.143074581430746
2/22/16 12:00 AM,391.99,0.289940828402367,0.108108108108108,0.118721461187215,0.0395738203957382
2/23/16 12:00 AM,403.32,0.479289940828402,0.113513513513514,0.10958904109589,0.0365296803652968
2/24/16 12:00 AM,405.16,0.949375410913872,0.12972972972973,0.118721461187215,0.0395738203957382
2/25/16 12:00 AM,407.87,0.631821170282709,0.178378378378378,0.159817351598174,0.0532724505327245
2/26/16 12:00 AM,408.25,0.237343852728468,0.2,0.187214611872146,0.0624048706240487
2/27/16 12:00 AM,371.75,0.410913872452334,0.281081081081081,0.26027397260274,0.0867579908675799
2/28/16 12:00 AM,352.21,0.168310322156476,0.410810810810811,0.401826484018265,0.133942161339422
2/29/16 12:00 AM,356.86,0.168310322156476,0.443243243243243,0.4337899543379,0.144596651445967
3/1/16 12:00 AM,330.58,0.042077580539119,0.508108108108108,0.511415525114155,0.170471841704718
3/2/16 12:00 AM,316.25,0.0946745562130177,0.383783783783784,0.383561643835616,0.127853881278539
3/3/16 12:00 AM,309.85,0.190006574621959,0.416216216216216,0.406392694063927,0.135464231354642
3/4/16 12:00 AM,301.84,0.190006574621959,0.551351351351351,0.552511415525114,0.184170471841705
3/5/16 12:00 AM,279.35,0.042077580539119,0.497297297297297,0.648401826484018,0.216133942161339
3/6/16 12:00 AM,278.02,0.479289940828402,0.464864864864865,0.54337899543379,0.181126331811263
3/7/16 12:00 AM,289.8,1.21564760026298,0.254054054054054,0.264840182648402,0.0882800608828006
3/8/16 12:00 AM,279.68,0.378698224852071,0.227027027027027,0.269406392694064,0.0898021308980213
3/9/16 12:00 AM,274.03,0.949375410913872,0.0756756756756757,0.0821917808219178,0.0273972602739726
3/10/16 12:00 AM,299.85,0.237343852728468,0.113513513513514,0.123287671232877,0.0410958904109589
3/11/16 12:00 AM,316.42,0.85207100591716,0.237837837837838,0.232876712328767,0.0776255707762557
3/12/16 12:00 AM,320.81,1.05193951347797,0.183783783783784,0.164383561643836,0.0547945205479452
3/13/16 12:00 AM,333.13,0.0657462195923734,0.216216216216216,0.237442922374429,0.0791476407914764
3/14/16 12:00 AM,333.12,0.14792899408284,0.351351351351351,0.360730593607306,0.120243531202435
3/15/16 12:00 AM,318.52,0.168310322156476,0.340540540540541,0.324200913242009,0.10806697108067
3/16/16 12:00 AM,319.52,0.289940828402367,0.481081081081081,0.474885844748858,0.158295281582953
3/17/16 12:00 AM,310.06,0.552925706771861,0.383783783783784,0.374429223744292,0.124809741248097
3/18/16 12:00 AM,309.52,0.318211702827087,0.356756756756757,0.342465753424658,0.114155251141553
3/19/16 12:00 AM,282.04,0.378698224852071,0.632432432432432,0.648401826484018,0.216133942161339
3/20/16 12:00 AM,273.66,0.479289940828402,0.627027027027027,0.639269406392694,0.213089802130898
3/21/16 12:00 AM,285.22,1.84681130834977,0.254054054054054,0.232876712328767,0.0776255707762557
3/22/16 12:00 AM,292.38,2.44641683103222,0.0810810810810811,0.0410958904109589,0.0136986301369863
3/23/16 12:00 AM,291.14,1.05193951347797,0.0918918918918919,0.0639269406392694,0.0213089802130898
3/24/16 12:00 AM,296.23,0.552925706771861,0.210810810810811,0.182648401826484,0.060882800608828
3/25/16 12:00 AM,287.38,0.85207100591716,0.4,0.388127853881279,0.12937595129376
3/26/16 12:00 AM,279.41,0.0946745562130177,0.32972972972973,0.315068493150685,0.105022831050228
3/27/16 12:00 AM,281.17,0.168310322156476,0.275675675675676,0.26027397260274,0.0867579908675799
3/28/16 12:00 AM,286.8,0.190006574621959,0.427027027027027,0.415525114155251,0.138508371385084
3/29/16 12:00 AM,275.63,0.347797501643655,0.551351351351351,0.561643835616438,0.187214611872146
3/30/16 12:00 AM,282.86,0.318211702827087,0.232432432432432,0.237442922374429,0.0791476407914764
3/31/16 12:00 AM,274.61,0.479289940828402,0.243243243243243,0.223744292237443,0.0745814307458143
4/1/16 12:00 AM,262.11,0.289940828402367,0.540540540540541,0.534246575342466,0.178082191780822
4/2/16 12:00 AM,252.34,0.318211702827087,0.762162162162162,0.767123287671233,0.255707762557078
4/3/16 12:00 AM,238.36,0.168310322156476,0.654054054054054,0.666666666666667,0.222222222222222
4/4/16 12:00 AM,225.57,0.760026298487837,0.589189189189189,0.593607305936073,0.197869101978691
4/5/16 12:00 AM,246.73,1.84681130834977,0.27027027027027,0.273972602739726,0.091324200913242
4/6/16 12:00 AM,239.57,1.51479289940828,0.0918918918918919,0.0776255707762557,0.0258751902587519
4/7/16 12:00 AM,247.59,0.289940828402367,0.194594594594595,0.191780821917808,0.0639269406392694
4/8/16 12:00 AM,247.8,0.85207100591716,0.221621621621622,0.205479452054795,0.0684931506849315
4/9/16 12:00 AM,241.81,0.949375410913872,0.0756756756756757,0.0730593607305936,0.0243531202435312
4/10/16 12:00 AM,245.25,0.190006574621959,0.237837837837838,0.228310502283105,0.076103500761035
4/11/16 12:00 AM,266.77,0.410913872452334,0.410810810810811,0.401826484018265,0.133942161339422
4/12/16 12:00 AM,241.03,0.515450361604208,0.421621621621622,0.415525114155251,0.138508371385084
4/13/16 12:00 AM,245.6,0.591715976331361,0.318918918918919,0.315068493150685,0.105022831050228
4/14/16 12:00 AM,244.83,0.805391190006575,0.0540540540540541,0.0502283105022831,0.0167427701674277
4/15/16 12:00 AM,244.78,1.1051939513478,0.12972972972973,0.127853881278539,0.0426179604261796
4/16/16 12:00 AM,241.82,0.0795529257067719,0.0594594594594595,0.0639269406392694,0.0213089802130898
4/17/16 12:00 AM,237.15,0.168310322156476,0.108108108108108,0.127853881278539,0.0426179604261796
4/18/16 12:00 AM,255.58,0.262984878369494,0.221621621621622,0.255707762557078,0.0852359208523592
4/19/16 12:00 AM,249.28,0.21301775147929,0.410810810810811,0.429223744292237,0.143074581430746
4/20/16 12:00 AM,240.97,0.0532544378698225,0.151351351351351,0.178082191780822,0.0593607305936073
4/21/16 12:00 AM,243.06,0.591715976331361,0.167567567567568,0.187214611872146,0.0624048706240487
4/22/16 12:00 AM,240.36,0.479289940828402,0.291891891891892,0.292237442922374,0.0974124809741248
4/23/16 12:00 AM,237.91,0.410913872452334,0.135135135135135,0.132420091324201,0.0441400304414003
4/24/16 12:00 AM,234.66,0.318211702827087,0.232432432432432,0.223744292237443,0.0745814307458143
4/25/16 12:00 AM,251.46,0.444444444444445,0.351351351351351,0.342465753424658,0.114155251141553
4/26/16 12:00 AM,242.26,0.318211702827087,0.378378378378378,0.378995433789954,0.126331811263318
4/27/16 12:00 AM,242.25,0.032215647600263,0.286486486486487,0.273972602739726,0.091324200913242
4/28/16 12:00 AM,234.19,0.042077580539119,0.151351351351351,0.17351598173516,0.0578386605783866
4/29/16 12:00 AM,235.71,0.347797501643655,0.216216216216216,0.200913242009132,0.0669710806697108
4/30/16 12:00 AM,226.09,0.289940828402367,0.243243243243243,0.228310502283105,0.076103500761035
5/1/16 12:00 AM,213.48,0.14792899408284,0.356756756756757,0.356164383561644,0.118721461187215
5/2/16 12:00 AM,201.11,0.14792899408284,0.367567567567568,0.365296803652968,0.121765601217656
5/3/16 12:00 AM,219.69,0.14792899408284,0.172972972972973,0.232876712328767,0.0776255707762557
5/4/16 12:00 AM,225.7,0.14792899408284,0.313513513513514,0.360730593607306,0.120243531202435
5/5/16 12:00 AM,232.41,0.14792899408284,0.664864864864865,0.689497716894977,0.229832572298326
5/6/16 12:00 AM,233.36,0.14792899408284,0.189189189189189,0.232876712328767,0.0776255707762557
5/7/16 12:00 AM,215.84,0.14792899408284,0.0486486486486487,0.0776255707762557,0.0258751902587519
5/8/16 12:00 AM,218.03,0.14792899408284,0.118918918918919,0.123287671232877,0.0410958904109589
5/9/16 12:00 AM,237.79,0.14792899408284,0.140540540540541,0.191780821917808,0.0639269406392694
5/10/16 12:00 AM,242.1,0.14792899408284,0.216216216216216,0.255707762557078,0.0852359208523592
5/11/16 12:00 AM,237.2,0.14792899408284,0.340540540540541,0.429223744292237,0.143074581430746
5/12/16 12:00 AM,235.18,0.14792899408284,0.356756756756757,0.424657534246575,0.141552511415525
5/13/16 12:00 AM,217.68,0.14792899408284,0.281081081081081,0.305936073059361,0.101978691019787
5/14/16 12:00 AM,213.78,0.14792899408284,0.0702702702702703,0.0730593607305936,0.0243531202435312
5/15/16 12:00 AM,223.71,0.14792899408284,0.0864864864864865,0.118721461187215,0.0395738203957382
5/16/16 12:00 AM,242.44,0.14792899408284,0.227027027027027,0.319634703196347,0.106544901065449
5/17/16 12:00 AM,230.84,0.14792899408284,0.237837837837838,0.296803652968037,0.0989345509893455
5/18/16 12:00 AM,229.72,0.14792899408284,0.4,0.392694063926941,0.13089802130898
5/19/16 12:00 AM,227.84,0.14792899408284,0.362162162162162,0.383561643835616,0.127853881278539
5/20/16 12:00 AM,233.23,0.14792899408284,0.232432432432432,0.214611872146119,0.0715372907153729
5/21/16 12:00 AM,226.1,0.14792899408284,0.156756756756757,0.136986301369863,0.045662100456621
5/22/16 12:00 AM,215.27,0.14792899408284,0.0594594594594595,0.0365296803652968,0.0121765601217656
5/23/16 12:00 AM,234.39,0.14792899408284,0.0432432432432432,0.0365296803652968,0.0121765601217656
5/24/16 12:00 AM,231.67,0.14792899408284,0.167567567567568,0.182648401826484,0.060882800608828
5/25/16 12:00 AM,235.62,0.14792899408284,0.0648648648648649,0.091324200913242,0.030441400304414
5/26/16 12:00 AM,229.75,0.14792899408284,0.0432432432432432,0.0547945205479452,0.0182648401826484
5/27/16 12:00 AM,231.57,0.14792899408284,0.210810810810811,0.200913242009132,0.0669710806697108
5/28/16 12:00 AM,226.53,0.14792899408284,0.443243243243243,0.4337899543379,0.144596651445967
5/29/16 12:00 AM,226.13,0.14792899408284,0.302702702702703,0.296803652968037,0.0989345509893455
5/30/16 12:00 AM,238.46,0.14792899408284,0.367567567567568,0.351598173515982,0.117199391171994
5/31/16 12:00 AM,231.3,0.14792899408284,0.367567567567568,0.374429223744292,0.124809741248097
6/1/16 12:00 AM,230.61,0.552925706771861,0.324324324324324,0.315068493150685,0.105022831050228
6/2/16 12:00 AM,226.15,1.05193951347797,0.0702702702702703,0.0821917808219178,0.0273972602739726
6/3/16 12:00 AM,226.87,0.21301775147929,0.0918918918918919,0.168949771689498,0.0563165905631659
6/4/16 12:00 AM,229.65,0.14792899408284,0.221621621621622,0.228310502283105,0.076103500761035
6/5/16 12:00 AM,216.48,0.14792899408284,0.172972972972973,0.287671232876712,0.0958904109589041
6/6/16 12:00 AM,237.59,0.168310322156476,0.227027027027027,0.273972602739726,0.091324200913242
6/7/16 12:00 AM,229.51,0.111111111111111,0.0702702702702703,0.187214611872146,0.0624048706240487
6/8/16 12:00 AM,227.13,0.21301775147929,0.124324324324324,0.214611872146119,0.0715372907153729
6/9/16 12:00 AM,220.83,0.631821170282709,0.0756756756756757,0.0821917808219178,0.0273972602739726
6/10/16 12:00 AM,202.18,0.85207100591716,0.12972972972973,0.114155251141553,0.0380517503805175
6/11/16 12:00 AM,198.69,0.21301775147929,0.102702702702703,0.159817351598174,0.0532724505327245
6/12/16 12:00 AM,223.22,0.289940828402367,0.140540540540541,0.187214611872146,0.0624048706240487
6/13/16 12:00 AM,225.46,0.14792899408284,0.156756756756757,0.182648401826484,0.060882800608828
6/14/16 12:00 AM,227.31,0.0795529257067719,0.297297297297297,0.324200913242009,0.10806697108067
6/15/16 12:00 AM,229.91,0.262984878369494,0.118918918918919,0.164383561643836,0.0547945205479452
6/16/16 12:00 AM,224.46,0.032215647600263,0.12972972972973,0.214611872146119,0.0715372907153729
6/17/16 12:00 AM,224.61,0.111111111111111,0.151351351351351,0.324200913242009,0.10806697108067
6/18/16 12:00 AM,218.34,0.410913872452334,0.297297297297297,0.319634703196347,0.106544901065449
6/19/16 12:00 AM,210.28,0.318211702827087,0.156756756756757,0.273972602739726,0.091324200913242
6/20/16 12:00 AM,228.82,0.318211702827087,0.291891891891892,0.356164383561644,0.118721461187215
6/21/16 12:00 AM,219.66,0.410913872452334,0.232432432432432,0.219178082191781,0.0730593607305936
6/22/16 12:00 AM,215.71,0.631821170282709,0.454054054054054,0.442922374429224,0.147640791476408
6/23/16 12:00 AM,219.63,1.05193951347797,0.178378378378378,0.178082191780822,0.0593607305936073
6/24/16 12:00 AM,222.44,2.13609467455621,0.0324324324324324,0.0639269406392694,0.0213089802130898
6/25/16 12:00 AM,207.06,0.515450361604208,0.0810810810810811,0.150684931506849,0.0502283105022831
6/26/16 12:00 AM,200.69,1.27284681130835,0.0918918918918919,0.105022831050228,0.0350076103500761
6/27/16 12:00 AM,218.58,1.1051939513478,0.237837837837838,0.219178082191781,0.0730593607305936
6/28/16 12:00 AM,220.92,0.515450361604208,0.243243243243243,0.264840182648402,0.0882800608828006
6/29/16 12:00 AM,221.42,0.479289940828402,0.205405405405405,0.205479452054795,0.0684931506849315
6/30/16 12:00 AM,221.37,1.51479289940828,0.254054054054054,0.242009132420091,0.0806697108066971
